"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","total"
"ለ","U","ሐ","ለ","ሐ"
"ሐ","ሐ ","U","ሐ","ለ"
"ሐ","ለ","ሐ",,"U"
,,,,"ሐ"
,,,,"ሐ"
,,,,"ለ"
,,,,"U"
,,,,"ለ"
,,,,"ለ"
,,,,"መ"
,,,,"ሐ"
,,,,"ለ"
,,,,"u"
,,,,"ለ"
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































