"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","total"
"ለ ","ሐ","ለ",,"h"
"መ","ሐ","ለ",,"ለ"
"መ","ለ","ሀ",,"ለ"
,,,,"መ"
,,,,"ሐ"
,,,,"ለ"
,,,,"ሐ"
,,,,"ለ"
,,,,"U"
,,,,"ለ"
,,,,"ለ"
,,,,"ለ"
,,,,"U"
,,,,"ለ"
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































