"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","ምእ ራፍ 5","total"
"ለ","ለ","ሐ","U","ለ","h"
"መ","U","ለ","ለ","u","u"
"ሐ","ለ","መ","U","መ","h"
,,,,,"ሐ"
,,,,,"መ"
,,,,,"ለ"
,,,,,"ሐ"
,,,,,"መ"
,,,,,"ሐ"
,,,,,"ለ"
,,,,,"ሐ"
,,,,,"ለ"
,,,,,"ሐ"
,,,,,"መ"
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































