"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","total"
"ለ ","ለ ","ለ ","ለ ","ለ "
"ሐ","ሀ ","መ ","ሀ ","ለ "
"ሀ ","መ ","ለ ","ለ ","ሐ"
,,,,"ለ "
,,,,"ሀ "
,,,,"ለ "
,,,,"ሀ "
,,,,"ለ "
,,,,"መ "
,,,,"ሐ"
,,,,"ለ "
,,,,"ሀ "


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































