"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","total"
"ለ ","ሐ ","ሐ ","ሀ ","ሐ "
"ሀ ","ለ ","ለ ","ለ ","ለ "
"ለ ","ሐ ","ሐ ","ሐ ","ሐ "
,,,,"ለ "
,,,,"ሀ "
,,,,"ሐ "
,,,,"ለ "
,,,,"ሀ "
,,,,"ሐ "
,,,,"መ "
,,,,"ለ "
,,,,"ሐ "


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































