"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","total"
"ለ ","ለ ","መ ","መ ","ሐ"
"ሀ  ","ሐ ","ሀ ","ለ ","ሐ"
"ሐ","ሐ ","ሐ","ለ ","ሐ"
,,,,"ለ "
,,,,"ለ "
,,,,"ሐ"
,,,,"ለ "
,,,,"መ "
,,,,"ለ "
,,,,"ለ "
,,,,"ሐ"
,,,,"ለ "
,,,,"ሐ"

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































