"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","total"
"ለ ","ሐ","h","h","መ"
"ሐ","ለ ","ሐ","ሐ","ለ"
"ለ ","መ","u","ለ","ሐ"
,,,,"ሐ"
,,,,"ሐ"
,,,,"ሐ"
,,,,"ለ"
,,,,"መ"
,,,,"ሐ"
,,,,"ሐ"
,,,,"ሀ "
,,,,"ለ "


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































