"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","ምእ ራፍ 5","ምእ ራፍ 6","ምእ ራፍ 7","total"
"መ","መ","ለ ","U","u","ሐ","U","ሐ"
"መ","ለ","ለ ","መ","ሐ","ሐ","ሐ","መ"
"ሐ","ሐ","ለ","ለ","ለ","U","ለ","ለ"
,,,,,,,"መ"
,,,,,,,"ሐ"
,,,,,,,"ሐ"
,,,,,,,"ለ"
,,,,,,,"ለ"
,,,,,,,"ሐ"
,,,,,,,"መ"
,,,,,,,"ለ"
,,,,,,,"ለ"


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































