"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","ምእ ራፍ 5","ምእ ራፍ 6","total"
"ለ","ለ","ለ","ሐ","U","ለ","መ"
"ሐ","ሐ","መ","ሐ","ሐ","ለ","U"
"መ","መ","ሐ","ለ","መ","ለ","መ"
,,,,,,"ለ"
,,,,,,"መ"
,,,,,,"ሐ"
,,,,,,"h"
,,,,,,"መ"
,,,,,,"ለ"
,,,,,,"U"
,,,,,,"መ"
,,,,,,"ሐ"


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































