"ምእ ራፍ 1","ምእ ራፍ 2 ","ምእ ራፍ 3","ምእ ራፍ 4","total"
"ሐ ","ለ ","ሐ ","መ ","ለ "
"ለ ","ለ ","ሀ ","ለ ","ሀ "
"ለ ","መ ","ሐ ","ሀ ","ለ "
,,,,"ሐ "
,,,,"ለ "
,,,,"ሀ "
,,,,"ሀ "
,,,,"ለ "
,,,,"ሐ "
,,,,"መ "
,,,,"ሀ "
,,,,"ሐ "


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































